AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544976
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544977
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544978
District Department of the Environment,2024/05/20 04:00:00+00,254.91,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,544989
District of Columbia Public Schools,2024/05/20 04:00:00+00,2530.17,B&H PHOTO 800-606-6969,NY,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,544991
District of Columbia Public Schools,2024/05/20 04:00:00+00,240,"GITHUB, INC.",CA,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,544993
District Department of the Environment,2024/05/20 04:00:00+00,1279,AIR & WASTE MGMT ASSO,PA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545122
District of Columbia Public Schools,2024/05/20 04:00:00+00,259,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545124
District of Columbia Public Schools,2024/05/20 04:00:00+00,29.17,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545130
District of Columbia Public Schools,2024/05/20 04:00:00+00,4994.7,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,545131
District Department of the Environment,2024/05/20 04:00:00+00,1097.5,YSI,OH,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545132
District of Columbia Public Schools,2024/05/20 04:00:00+00,-116.8,MCGRAW-HILL K-12,NY,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,545133
District of Columbia Public Schools,2024/05/20 04:00:00+00,4592,SCHLNUTRA* SCHOOL NUTR,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,545134
District of Columbia Public Schools,2024/05/20 04:00:00+00,599,SCHLNUTRA* SCHOOL NUTR,VA,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,545135
District Department of Transportation,2024/05/20 04:00:00+00,175,SAME DAY PROCESS SERVI,DC,INFORMATION RETRIEVAL SERVICES,2024/06/11 15:15:49+00,545136
District of Columbia Public Schools,2024/05/20 04:00:00+00,2375,IN *BENJI HOLDINGS LLC,CA,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545139
District of Columbia Public Schools,2024/05/20 04:00:00+00,273.92,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545140
District of Columbia Public Schools,2024/05/20 04:00:00+00,95.39,FEDEX,TX,QUICK COPY REPRODUCTION AND BLUEPRINTING SERVICES,2024/06/11 15:15:49+00,545141
District of Columbia Public Schools,2024/05/20 04:00:00+00,1429.21,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545142
"Department of Insurance, Securities & Banking",2024/05/20 04:00:00+00,330,JETCO FEDERAL,MI,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545146
District of Columbia Public Schools,2024/05/20 04:00:00+00,700,PAYPAL,CA,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545156
Office of the Mayor,2024/05/20 04:00:00+00,3529.2,"AUDACY OPERATIONS, INC",PA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,545276
Office of the Mayor,2024/05/20 04:00:00+00,1570.8,"AUDACY OPERATIONS, INC",PA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,545277
District of Columbia Public Schools,2024/05/20 04:00:00+00,693.44,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545278
District of Columbia Public Schools,2024/05/20 04:00:00+00,3333.92,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,545280
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,2830.08,JOSEPH FAZZIO-GLASSBOR,NJ,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545286
District of Columbia Public Schools,2024/05/20 04:00:00+00,1574.38,GEORGETOWN UNIVERSITY,DC,COLLEGES  UNIV  PRO SCHOOLS  JUNIOR COLLEGES,2024/06/11 15:15:49+00,545288
District Department of the Environment,2024/05/20 04:00:00+00,2102.68,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545289
District Department of the Environment,2024/05/20 04:00:00+00,1014.6,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545290
District Department of the Environment,2024/05/20 04:00:00+00,145.95,DADANT AND SONS INC,PA,MISCELLANEOUS GENERAL MERCHANDISE,2024/06/11 15:15:49+00,545291
District of Columbia Public Schools,2024/05/20 04:00:00+00,56.89,AMAZON MAR* 114-694826,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545298
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,868,IN *GREENPIPE BIOTECH,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545299
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,654,IN *GREENPIPE BIOTECH,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545300
Office of the Attorney General,2024/05/20 04:00:00+00,52.1,PY *NACPI,NJ,ASSOCIATIONS-CIVIC  SOCIAL  AND FRATERNAL,2024/06/11 15:15:49+00,545432
Department of Motor Vehicles,2024/05/20 04:00:00+00,300,SQ *SYSMEGA LLC,MD,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545433
District of Columbia Public Schools,2024/05/20 04:00:00+00,3048.4,COG ACQUISITIONS - LAN,MD,MENS-WOMENS-CHILDRENS UNIFORMS-COMMERCIAL CLOTH,2024/06/11 15:15:49+00,545436
District of Columbia Public Schools,2024/05/20 04:00:00+00,814.3,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545437
District of Columbia Public Schools,2024/05/20 04:00:00+00,45.95,AMAZON.COM*GA3VN0RP3,WA,BOOK STORES,2024/06/11 15:15:49+00,545438
District of Columbia Public Schools,2024/05/20 04:00:00+00,38.63,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545441
District of Columbia Public Schools,2024/05/20 04:00:00+00,289.5,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,545442
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,1498.91,JOSEPH FAZZIO-GLASSBOR,NJ,DURABLE GOODS  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545450
District of Columbia Public Schools,2024/05/20 04:00:00+00,8.13,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545452
District of Columbia Public Schools,2024/05/20 04:00:00+00,41.98,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545453
District of Columbia Public Schools,2024/05/20 04:00:00+00,12,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545454
District of Columbia Public Schools,2024/05/20 04:00:00+00,41.98,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545455
District of Columbia Public Schools,2024/05/20 04:00:00+00,41.98,WL *DHL USA,FL,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545609
Department of Housing & Community Development,2024/05/20 04:00:00+00,552.52,ANDEAN CONSULTING SOLU,DC,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,545615
District of Columbia Public Schools,2024/05/20 04:00:00+00,1000,IN *LAB RASCALS LLC,MD,TESTING LABORATORIES (NON-MEDICAL),2024/06/11 15:15:49+00,545623
District of Columbia Public Schools,2024/05/20 04:00:00+00,3195.05,GREAT BOOKS FOUNDATION,IL,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545624
Department of Health,2024/05/20 04:00:00+00,1007.4,MARRIOTT DETROIT DTOWN,MI,MARRIOTT,2024/06/11 15:15:49+00,545626
District of Columbia Public Schools,2024/05/20 04:00:00+00,2381.69,GRADUATIONSOURCE,NY,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545658
District of Columbia Public Schools,2024/05/20 04:00:00+00,917.41,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545807
District of Columbia Public Schools,2024/05/20 04:00:00+00,2336.8,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545826
District of Columbia Public Schools,2024/05/20 04:00:00+00,625.02,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545827
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,144.8,GINKGO GARDENS,DC,LAWN AND GARDEN SUPPLY STORES,2024/06/11 15:15:49+00,545840
District of Columbia Public Schools,2024/05/20 04:00:00+00,165.14,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545948
District of Columbia Public Schools,2024/05/20 04:00:00+00,139.91,NASSP PRODUCT & SERVIC,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545979
Department of Motor Vehicles,2024/05/20 04:00:00+00,229.65,RADWELL INTERNATIONAL,NJ,ELECTRICAL PARTS AND EQUIPMENT,2024/06/11 15:15:49+00,545983
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,331.04,THE HOME DEPOT #2554,MD,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,545996
District of Columbia Public Schools,2024/05/20 04:00:00+00,59.95,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546122
District of Columbia Public Schools,2024/05/20 04:00:00+00,983.97,CROWN AWARDS INC,NY,SPORTING GOODS STORES,2024/06/11 15:15:49+00,546123
District of Columbia Public Schools,2024/05/20 04:00:00+00,3000,DEMCO INC,WI,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546126
District of Columbia Public Schools,2024/05/20 04:00:00+00,411.72,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546246
District of Columbia Public Schools,2024/05/20 04:00:00+00,135.93,AMAZON MAR* 112-320602,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546253
District of Columbia Public Schools,2024/05/20 04:00:00+00,149.64,LINKEDIN ADS 957063633,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546258
District of Columbia Public Schools,2024/05/20 04:00:00+00,2000.28,INDEED 92807861,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,546259
Department of Health,2024/05/20 04:00:00+00,4197,"ARTICULATE GLOBAL, LLC",NY,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546260
Department of Health,2024/05/20 04:00:00+00,4197,"ARTICULATE GLOBAL, LLC",NY,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546261
District of Columbia Public Schools,2024/05/20 04:00:00+00,1994.67,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546412
District of Columbia Public Schools,2024/05/20 04:00:00+00,37.52,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546574
District of Columbia Public Schools,2024/05/20 04:00:00+00,4421.66,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546593
District of Columbia Public Schools,2024/05/20 04:00:00+00,1364.96,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546594
Department of Motor Vehicles,2024/05/20 04:00:00+00,14.66,INTERNATIONAL TRANSACTION,,Unknown,2024/06/11 15:15:49+00,547094
Department of Motor Vehicles,2024/05/20 04:00:00+00,977,HILTON QUEBEC,QC,HILTON,2024/06/11 15:15:49+00,547097
District of Columbia Public Schools,2024/05/20 04:00:00+00,2039.42,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547202
Office of Contracting & Procurement,2024/05/20 04:00:00+00,138.36,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547226
District of Columbia Public Schools,2024/05/19 04:00:00+00,75.31,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544819
District of Columbia Public Schools,2024/05/19 04:00:00+00,103.87,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544822
District of Columbia Public Schools,2024/05/19 04:00:00+00,164.93,LINKEDIN ADS 956783142,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,544836
Fire & Emergency Medical Services,2024/05/19 04:00:00+00,589.84,FAIRFIELD INN & SUITES,NC,FAIRFIELD INN,2024/06/11 15:15:49+00,544982
District of Columbia Public Schools,2024/05/19 04:00:00+00,209.22,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545297
District of Columbia Public Schools,2024/05/19 04:00:00+00,819.27,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,545431
District of Columbia Public Schools,2024/05/19 04:00:00+00,192.5,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545791
District of Columbia Public Schools,2024/05/19 04:00:00+00,144.4,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545956
District of Columbia Public Schools,2024/05/19 04:00:00+00,289.36,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545958
District of Columbia Public Schools,2024/05/19 04:00:00+00,89.48,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545959
District of Columbia Public Schools,2024/05/19 04:00:00+00,4581,AMAZON.COM*FB6KK3653,WA,BOOK STORES,2024/06/11 15:15:49+00,545962
District of Columbia Public Schools,2024/05/19 04:00:00+00,977.16,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545966
Office of the Mayor,2024/05/19 04:00:00+00,129.9,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546107
District of Columbia Public Schools,2024/05/19 04:00:00+00,25.51,AMAZON.COM*H401M8403,WA,BOOK STORES,2024/06/11 15:15:49+00,546244
District of Columbia Public Schools,2024/05/19 04:00:00+00,160.1,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546737
District Department of the Environment,2024/05/19 04:00:00+00,994.37,LOEWS HOTELS,IL,LOEWS HOTELS,2024/06/11 15:15:49+00,547180
Department of Health,2024/05/19 04:00:00+00,1114.62,AMAZON MAR* 113-292881,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,547205
District of Columbia Public Schools,2024/05/18 04:00:00+00,503.85,INDEED 92765154,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,544834
District of Columbia Public Schools,2024/05/18 04:00:00+00,221.89,LINKEDIN ADS 956561855,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,544835
District of Columbia Public Schools,2024/05/18 04:00:00+00,119.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544837
Department of Small & Local Business Development,2024/05/18 04:00:00+00,15.99,WEB,FL,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,545784
District of Columbia Public Schools,2024/05/18 04:00:00+00,-13.24,AMAZON.COM,WA,BOOK STORES,2024/06/11 15:15:49+00,545790
District of Columbia Public Schools,2024/05/18 04:00:00+00,214.29,PARIS LV ROOM RESRVATI,NV,PARIS LAS VEGAS HOTEL,2024/06/11 15:15:49+00,545794
District of Columbia Public Schools,2024/05/18 04:00:00+00,214.29,PARIS LV ROOM RESRVATI,NV,PARIS LAS VEGAS HOTEL,2024/06/11 15:15:49+00,545795
District of Columbia Public Schools,2024/05/18 04:00:00+00,214.29,PARIS LV ROOM RESRVATI,NV,PARIS LAS VEGAS HOTEL,2024/06/11 15:15:49+00,545796
Department of Health,2024/05/18 04:00:00+00,42.38,AMAZON MAR* 114-654853,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545805
District of Columbia Public Schools,2024/05/18 04:00:00+00,43.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545806
District of Columbia Public Schools,2024/05/18 04:00:00+00,312.67,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545809
District of Columbia Public Schools,2024/05/18 04:00:00+00,612.3,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545947
District of Columbia Public Schools,2024/05/18 04:00:00+00,159.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545954
District of Columbia Public Schools,2024/05/18 04:00:00+00,24.86,AMAZON RET* 113-849555,WA,VARIETY STORES,2024/06/11 15:15:49+00,545967
District of Columbia Public Schools,2024/05/18 04:00:00+00,195,SKILLSUSA ORG,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546109
District of Columbia Public Schools,2024/05/18 04:00:00+00,195,SKILLSUSA ORG,VA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546110
District of Columbia Public Schools,2024/05/18 04:00:00+00,18.88,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546242
District of Columbia Public Schools,2024/05/18 04:00:00+00,116.06,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546729
Department of Health,2024/05/18 04:00:00+00,-105.84,OMNI WILLIAM PENN ONLI,PA,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546775
District of Columbia Public Schools,2024/05/18 04:00:00+00,643.01,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546879
Fire & Emergency Medical Services,2024/05/18 04:00:00+00,2926.4,JONES & BARTLETT LEARN,MA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546881
District of Columbia Public Schools,2024/05/18 04:00:00+00,-89.99,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546889
District Department of Transportation,2024/05/18 04:00:00+00,305.15,WEB*HOSTGATOR.COM,MA,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,546893
Department of Health,2024/05/17 04:00:00+00,13.77,OMNI WILLIAM PENN,PA,OMNI HOTELS,2024/06/11 15:15:49+00,544827
Fire & Emergency Medical Services,2024/05/17 04:00:00+00,690.75,SP MARINERS LEARNING,NJ,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544828
Office of the Chief Financial Officer,2024/05/17 04:00:00+00,4996.6,"TOTAL OFFICE PRODUCTS,",DC,OFFICE PHOTOGRAPHIC PHOTOCOPY + MICROFILM EQUIPMT.,2024/06/11 15:15:49+00,544829
District of Columbia Public Schools,2024/05/17 04:00:00+00,473.38,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,544832
District of Columbia Public Schools,2024/05/17 04:00:00+00,249.62,LINKEDIN ADS 956267786,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,544833
Department of Motor Vehicles,2024/05/17 04:00:00+00,179,TOOLS 2 SCD,CA,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,544838
Office of the Mayor,2024/05/17 04:00:00+00,2.12,TWPSUB63794371,DC,BOOKS PERIODICALS AND NEWSPAPERS,2024/06/11 15:15:49+00,545103
District of Columbia Public Schools,2024/05/17 04:00:00+00,36.29,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545120
Fire & Emergency Medical Services,2024/05/17 04:00:00+00,1099.99,AMAZON.COM*UZ8JX3PL3,WA,BOOK STORES,2024/06/11 15:15:49+00,545404
Fire & Emergency Medical Services,2024/05/17 04:00:00+00,98.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545405
Office of Contracting & Procurement,2024/05/17 04:00:00+00,435.96,COMCAST,MD,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545407
District of Columbia Public Schools,2024/05/17 04:00:00+00,67.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545429
District Department of Transportation,2024/05/17 04:00:00+00,113.46,AMERICAN PLANNING A,IL,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545448
District Department of Transportation,2024/05/17 04:00:00+00,667,AMERICAN PLANNING A,IL,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,545449
District of Columbia Public Schools,2024/05/17 04:00:00+00,188.24,AMAZON.COM*DR0J36SE3,WA,BOOK STORES,2024/06/11 15:15:49+00,545789
District of Columbia Public Schools,2024/05/17 04:00:00+00,500,IN *BENJI HOLDINGS LLC,CA,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,545804
District of Columbia Public Schools,2024/05/17 04:00:00+00,232.36,THE UPS STORE 7421,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545808
DC Public Library,2024/05/17 04:00:00+00,377.25,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545865
District of Columbia Public Schools,2024/05/17 04:00:00+00,70.3,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545945
District of Columbia Public Schools,2024/05/17 04:00:00+00,139.52,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545946
District of Columbia Public Schools,2024/05/17 04:00:00+00,7.52,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545953
District of Columbia Public Schools,2024/05/17 04:00:00+00,159,HARVARD BUS HBR.ORG,MA,BOOK STORES,2024/06/11 15:15:49+00,545955
District of Columbia Public Schools,2024/05/17 04:00:00+00,536.05,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545957
District of Columbia Public Schools,2024/05/17 04:00:00+00,84.37,AMAZON.COM*2H9XZ10Z3,WA,BOOK STORES,2024/06/11 15:15:49+00,545961
District of Columbia Public Schools,2024/05/17 04:00:00+00,1509.3,NATIONAL AQUARIUM INC,MD,AQUARIUMS  DOLPHINARIUMS  AND SEAQUARIUMS,2024/06/11 15:15:49+00,545964
District of Columbia Public Schools,2024/05/17 04:00:00+00,3840.3,DAYCON UPPER MARLBORO,MD,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545965
District of Columbia Public Schools,2024/05/17 04:00:00+00,272.19,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545968
District of Columbia Public Schools,2024/05/17 04:00:00+00,917.42,JONES SCHOOL SUPPLY CO,SC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,545999
District of Columbia Public Schools,2024/05/17 04:00:00+00,1450.82,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546103
District of Columbia Public Schools,2024/05/17 04:00:00+00,4768.53,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546105
Department of Health,2024/05/17 04:00:00+00,943.2,LEXISNEXIS PAYMENT CTR,OH,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546106
District of Columbia Public Schools,2024/05/17 04:00:00+00,599.76,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,546108
District of Columbia Public Schools,2024/05/17 04:00:00+00,1919,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546111
District Department of the Environment,2024/05/17 04:00:00+00,915.72,SHERATON GRAND CHICAGO,IL,SHERATON,2024/06/11 15:15:49+00,546115
District Department of the Environment,2024/05/17 04:00:00+00,475,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546116
